product_id,product_name,category,price
PRD-001,Leche Entera,Lácteos,1.25
PRD-002,Leche Desnatada,Lácteos,1.20
PRD-003,Queso Gouda,Lácteos,3.50
PRD-004,Yogur Natural,Lácteos,0.80
PRD-005,Coca Cola,Bebidas,1.80
PRD-006,Agua Mineral,Bebidas,0.60
PRD-007,Zumo Naranja,Bebidas,1.50
PRD-008,Café Molido,Bebidas,4.20
PRD-009,Pan Blanco,Panadería,0.95
PRD-010,Pan Integral,Panadería,1.10
PRD-011,Croissant,Panadería,1.20
PRD-012,Manzana,Frutas,0.50
PRD-013,Plátano,Frutas,0.40
PRD-014,Naranja,Frutas,0.45
PRD-015,Tomate,Verduras,0.70
PRD-016,Lechuga,Verduras,1.00
PRD-017,Patata,Verduras,0.35
PRD-018,Pechuga Pollo,Carnes,6.50
PRD-019,Carne Picada,Carnes,5.80
PRD-020,Hamburguesa Vacuno,Carnes,4.90
